Product Name,Price,Discount,Battery,Display,Ratings,Reviews,Camera,Actual Price,Processor,RAM,ROM,brand,type
"vivo V40 5G (Ganges Blue, 256 GB)",36999.0,13.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,8027.0,850.0,50MP + 50MP | 50MP Front Camera,42999.0,Snapdragon 7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo X200 5G (Natural Green, 256 GB)",65999.0,12.0,5800 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,527.0,112.0,50MP + 50MP + 50MP | 32MP Front Camera,74999.0,Dimensity 9400 Processor,12.0,256.0,vivo,Android
"vivo V40e 5G (Mint Green, 128 GB)",26999.0,20.0,5500 mAh Battery,17.2 cm (6.77 inch) Display,6121.0,454.0,50MP + 8MP | 50MP Front Camera,33999.0,Dimensity 7300 Processor,8.0,128.0,vivo,Android
"vivo Y300 5G (Emerald Green, 128 GB)",21999.0,18.0,5000 mAh Battery,16.94 cm (6.67 inch) Display,1401.0,86.0,50MP + 2MP | 32MP Front Camera,26999.0,4 Gen 2 Processor,8.0,128.0,vivo,Android
"vivo Y29 5G (Diamond Black, 128 GB)",16999.0,22.0,5500 mAh Battery,16.97 cm (6.68 inch) Display,315.0,17.0,50MP + 0.08MP | 8MP Front Camera,21999.0,Dimensity 6300 Processor,8.0,128.0,vivo,Android
"vivo V30 Pro 5G (Andaman Blue, 512 GB)",39999.0,23.0,5000 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,2131.0,252.0,50MP + 50MP + 50MP | 50MP Front Camera,51999.0,Dimensity 8200 5G Processor,12.0,512.0,vivo,Android
"vivo Y28e 5G (Vintage Red, 64 GB)",11999.0,20.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,620.0,17.0,13MP + 0.08MP | 5MP Front Camera,14999.0,Dimensity 6300 Processor,4.0,64.0,vivo,Android
"vivo V40 5G (Lotus Purple, 128 GB)",34999.0,12.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,8027.0,850.0,50MP + 50MP | 50MP Front Camera,39999.0,Snapdragon 7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo Y28 5G (Glitter Aqua, 128 GB)",12999.0,27.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,567.0,14.0,50MP + 2MP | 8MP Front Camera,17999.0,Dimensity 6020 Processor,4.0,128.0,vivo,Android
"vivo Y300 Plus 5G (Silk Black, 128 GB)",23999.0,20.0,5000 mAh Battery,17.22 cm (6.78 inch) Display,250.0,16.0,50MP + 2MP | 32MP Front Camera,29999.0,695 Processor,8.0,128.0,vivo,Android
"vivo Y29 5G (Glacier Blue, 128 GB)",15499.0,13.0,5500 mAh Battery,16.97 cm (6.68 inch) Display,371.0,12.0,50MP + 0.08MP | 8MP Front Camera,17999.0,Dimensity 6300 Processor,6.0,128.0,vivo,Android
"vivo Y29 5G (Diamond Black, 128 GB)",13999.0,15.0,5500 mAh Battery,16.97 cm (6.68 inch) Display,194.0,12.0,50MP + 0.08MP | 8MP Front Camera,16499.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo V40e 5G (Mint Green, 256 GB)",28999.0,19.0,5500 mAh Battery,17.2 cm (6.77 inch) Display,6121.0,454.0,50MP + 8MP | 50MP Front Camera,35999.0,Dimensity 7300 Processor,8.0,256.0,vivo,Android
"vivo V30e (Silk Blue, 128 GB)",25499.0,22.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,5596.0,390.0,50MP + 8MP | 50MP Front Camera,32999.0,6 Gen 1 Processor,8.0,128.0,vivo,Android
"vivo V40 Pro 5G (Ganges Blue, 256 GB)",49999.0,9.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,1029.0,134.0,50MP + 50MP + 50MP | 50MP Front Camera,54999.0,Dimensity 9200+ Processor,8.0,256.0,vivo,Android
"vivo V50 5G (Titanium Grey, 256 GB)",36999.0,13.0,6000 mAh Battery,17.2 cm (6.77 inch) Display,454.0,60.0,50MP + 50MP | 50MP Front Camera,42999.0,7 Gen 3 Processor,8.0,256.0,vivo,Android
"vivo Y28e 5G (Vintage Red, 128 GB)",12590.0,21.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,620.0,17.0,13MP + 0.08MP | 5MP Front Camera,15999.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo Y200 5G (Jungle Green, 128 GB)",23490.0,16.0,4800 mAh Battery,16.94 cm (6.67 inch) Full HD+ Display,3241.0,219.0,64MP + 2MP | 16MP Front Camera,27999.0,4 Gen 1 Processor,8.0,128.0,vivo,Android
"vivo V30 5G (Peacock Green, 128 GB)",29945.0,23.0,5000 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,7721.0,695.0,50MP + 50MP | 50MP Front Camera,38999.0,7 Gen 3 Processor,8.0,128.0,vivo,Android
"vivo Y21E (Diamond Glow, 64 GB)",8790.0,48.0,5000 mAh Battery,16.54 cm (6.51 inch) Display,532.0,29.0,13MP Rear Camera,16990.0,12 Months,3.0,64.0,vivo,Android
"vivo V30 Pro 5G (Andaman Blue, 256 GB)",34999.0,25.0,5000 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,6254.0,780.0,50MP + 50MP + 50MP | 50MP Front Camera,46999.0,Dimensity 8200 5G Processor,8.0,256.0,vivo,Android
"vivo Y29 5G (Titanium Gold, 256 GB)",18999.0,26.0,5500 mAh Battery,16.97 cm (6.68 inch) Display,315.0,17.0,50MP + 0.08MP | 8MP Front Camera,25999.0,Dimensity 6300 Processor,8.0,256.0,vivo,Android
"vivo Y28s 5G (Vintage Red, 128 GB)",13840.0,30.0,5000 mAh Battery,16.66 cm (6.56 inch) HD+ Display,857.0,45.0,50MP + 50MP,19999.0,1 Year,6.0,128.0,vivo,Android
"vivo T3x 5G (Sapphire Blue, 128 GB)",15499.0,24.0,6000 mAh Battery,17.07 cm (6.72 inch) Full HD+ Display,27827.0,1418.0,50MP + 2MP | 8MP Front Camera,20499.0,6 Gen 1 Processor,8.0,128.0,vivo,Android
"vivo V40 Pro 5G (Titanium Grey, 512 GB)",55999.0,8.0,5500 mAh Battery,17.22 cm (6.78 inch) Full HD+ Display,778.0,91.0,50MP + 50MP + 50MP | 50MP Front Camera,60999.0,Dimensity 9200+ Processor,12.0,512.0,vivo,Android
"vivo Y28e 5G Charger in the Box (Vintage Red, 128 GB)",11499.0,28.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,620.0,17.0,13MP + 0.08MP | 5MP Front Camera,15999.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
"vivo Y28s 5G (Twinkling Purple, 128 GB)",12999.0,27.0,5000 mAh Battery,16.66 cm (6.56 inch) Display,239.0,10.0,50MP + 0.08MP | 8MP Front Camera,17999.0,Dimensity 6300 Processor,4.0,128.0,vivo,Android
